"address","city","zip_code","sold_date","price","rooms","size","build_year","latitude","longitude"
"Langenæs Allé 47, 1. tv","Aarhus C",8000,"2019-04-29",1940000,2,70,1960,56.1412,10.180963
"Hedemannsgade 14, st. tv","Aarhus C",8000,"2019-04-29",1850000,2,59,1911,56.146904,10.191397
"Kystvejen 25, kl. 4","Aarhus C",8000,"2019-04-29",2300000,3,78,1901,56.159416,10.213721
"Dronning Margrethes Vej 23, 3. th","Aarhus N",8200,"2019-04-29",1657500,4,91,1912,56.170406,10.219475
"Jens Baggesens Vej 33, 2. 13","Aarhus N",8200,"2019-04-29",1940000,2,48,2006,56.169235,10.191129
"Nørre Allé 66, 1","Aarhus C",8000,"2019-04-29",225000,4,140,1914,56.159874,10.203432
"Nørre Allé 66, 2","Aarhus C",8000,"2019-04-29",225000,5,129,1914,56.159874,10.203432
"Ceresbyen 52, st. 2","Aarhus C",8000,"2019-04-29",5900000,4,120,2018,56.15625,10.193199
"Marstrandsgade 36, 3","Aarhus C",8000,"2019-04-28",2775000,3,77,1919,56.15394,10.196346
"Odensegade 42, 2. th","Aarhus C",8000,"2019-04-28",1650000,2,56,1907,56.14525,10.200156
"Mønsgade 8C, st","Aarhus C",8000,"2019-04-28",1147500,3,75,1917,56.158302,10.1955385
"Valdemars Have 9, 3. tv","Aarhus C",8000,"2019-04-28",4950000,4,117,2019,56.15133,10.196554
"Åhusene 9, 2. 4","Aarhus C",8000,"2019-04-28",1640000,2,55,2014,56.15282,10.187249
"Frederiks Plads 26, 4. 2","Aarhus C",8000,"2019-04-28",2998000,2,58,2017,56.148487,10.208627
"Grete Løchtes Gade 6, 3. th","Aarhus C",8000,"2019-04-28",3350000,3,99,2016,56.165726,10.22472
"Dagmar Petersens Gade 90, st","Aarhus C",8000,"2019-04-28",4850000,5,157,2017,56.16696,10.226648
"Ivar Huitfeldts Gade 81, 1. th","Aarhus N",8200,"2019-04-27",1600000,2,63,1936,56.173824,10.2137165
"Gustav Wieds Vej 29, 2. th","Aarhus C",8000,"2019-04-27",2775000,3,92,1952,56.169277,10.195854
"Lundbyesgade 21, 1. th","Aarhus C",8000,"2019-04-25",1402500,3,78,1925,56.154675,10.1950245
"Ålborggade 14, 2. th","Aarhus C",8000,"2019-03-05",2375000,2,62,1929,56.14337,10.193539
"Steen Billes Gade 13, 3. tv","Aarhus N",8200,"2019-03-05",2195000,2,59,1930,56.174454,10.215256
"Vestre Ringgade 41, 1. th","Aarhus C",8000,"2019-03-05",1600000,2,61,1933,56.156425,10.182216
"Dronning Margrethes Vej 1, st. th","Aarhus N",8200,"2019-03-05",2650000,3,79,1929,56.168976,10.218788
"Niels Juels Gade 7, 3","Aarhus N",8200,"2019-03-05",2132500,2,53,1902,56.169518,10.218475
"Carl Bertelsens Gade 1, 3. th","Aarhus C",8000,"2019-03-05",2298000,2,65,1934,56.1429,10.189196
"Vester Allé 24A, 1. th","Aarhus C",8000,"2019-03-05",3100000,3,75,1899,56.15747,10.198834
"Heibergsgade 1C, 4. tv","Aarhus C",8000,"2019-03-05",2475000,2,68,1937,56.14716,10.207844
"Strandparken 15, st. th","Aarhus C",8000,"2019-03-05",3175000,3,87,1935,56.14434,10.206715
"Helga Pedersens Gade 17, 6. 3","Aarhus C",8000,"2019-03-05",3750000,3,79,2012,56.166306,10.229337
"Jens Baggesens Vej 104, 2. th","Aarhus N",8200,"2019-03-04",2500000,4,100,1968,56.17059,10.197144
"Borggade 16, 2. tv","Aarhus C",8000,"2019-03-04",4998000,4,137,1913,56.160248,10.208928
"Valdemarsgade 52, 1. th","Aarhus C",8000,"2019-03-04",1995000,2,50,1900,56.149776,10.196287
"Regenburgsgade 8, 5. th","Aarhus C",8000,"2019-03-04",1322500,2,56,1945,56.157207,10.18373
"Marius Simonsens Vej 17, 1. tv","Aarhus N",8200,"2019-03-04",2275000,3,65,1953,56.17596,10.204699
"Norsgade 6, 2","Aarhus C",8000,"2019-03-04",2795000,2,80,1992,56.160778,10.207723
"Åhusene 5, 2. 1","Aarhus C",8000,"2019-03-04",725488,3,69,2013,56.152634,10.188483
"Daugbjergvej 22, 1. 12","Aarhus C",8000,"2019-03-04",23200000,2,58,2007,56.155342,10.184388
"Ny Munkegade 62, 3. tv","Aarhus C",8000,"2019-03-04",1750000,2,50,1890,56.163147,10.202408
"Vestervang 24, 4. th","Aarhus C",8000,"2019-03-04",3275000,3,100,1986,56.164,10.193677
"Harald Jensens Plads 15, 4. tv","Aarhus C",8000,"2019-03-03",2165000,2,60,1934,56.142937,10.189442
"Falstersgade 53, st","Aarhus C",8000,"2019-03-03",3085000,4,82,1896,56.164284,10.199051
"Finderupvej 2K, 1. tv","Aarhus C",8000,"2019-03-03",2400000,2,88,2009,56.1555,10.181475
"Tage-Hansens Gade 1, 4. th","Aarhus C",8000,"2019-03-03",1600000,2,77,1945,56.157227,10.184179
"Helga Pedersens Gade 13, 1. 2","Aarhus C",8000,"2019-03-03",2750000,2,63,2012,56.166367,10.229852
"Christiansgade 24C, st. 1","Aarhus C",8000,"2019-03-03",31200000,1,46,1897,56.15527,10.203284
"Sjællandsgade 45, 1","Aarhus C",8000,"2019-03-02",2200000,2,55,1875,56.162086,10.207165
"Tage-Hansens Gade 13, 2. tv","Aarhus C",8000,"2019-03-02",2307000,3,77,1945,56.15798,10.1842
"Kriegersvej 1B, 2","Aarhus C",8000,"2019-02-28",2400000,2,70,1900,56.149822,10.198907
"Silkeborgvej 178, 1. 1","Aarhus C",8000,"2019-02-28",1078000,1,33,1939,56.156155,10.176785
"Jens Baggesens Vej 33, 3. 14","Aarhus N",8200,"2019-02-28",1322500,2,49,2006,56.169235,10.191129
"Herluf Trolles Gade 35, 3. tv","Aarhus N",8200,"2019-02-27",1150000,2,66,1933,56.172615,10.217453
"Museumsgade 20, 2. th","Aarhus C",8000,"2019-02-27",2400000,2,62,1915,56.156254,10.1975765
"Skovvejen 44A, 4. th","Aarhus C",8000,"2019-02-27",2250000,2,60,1936,56.16811,10.2189
"Lundbyesgade 23, 1. th","Aarhus C",8000,"2019-02-27",824500,3,91,1925,56.154556,10.194861
"Gebauersgade 2, 4. 13","Aarhus C",8000,"2019-02-27",2065000,2,55,2004,56.15192,10.193972
"Ivar Huitfeldts Gade 28, st","Aarhus N",8200,"2019-02-27",7300000,2,66,1928,56.171005,10.214799
"Nørrebrogade 18, 2","Aarhus C",8000,"2019-02-27",1100000,5,127,1900,56.16316,10.210821
"Grønnegade 77D, 3. tv","Aarhus C",8000,"2019-02-27",1584000,2,68,1900,56.1593,10.200428
"Marstrandsgade 25, 1. tv","Aarhus C",8000,"2019-02-26",3125000,3,85,1931,56.154087,10.197062
"Mejlgade 88, 2","Aarhus C",8000,"2019-09-05",2550000,3,76,1899,56.161964,10.214882
"Ålborggade 14, 3. th","Aarhus C",8000,"2019-09-04",2950000,2,62,1929,56.14337,10.193539
"Skanderborgvej 17, 4. tv","Aarhus C",8000,"2019-09-04",1915000,2,66,1938,56.141132,10.1848135
"Nordborggade 1, 2. tv","Aarhus C",8000,"2019-09-04",2050000,3,83,1958,56.1439,10.186858
"Åhusene 9, 7. 4","Aarhus C",8000,"2019-09-04",2400000,2,55,2014,56.15282,10.187249
"Åhusene 4, st. 2","Aarhus C",8000,"2019-09-04",2975000,3,68,2011,56.153023,10.188655
